skew_level,EVA,EVB,EVD,EVA_complex,EVB_complex,EVD_complex,SDA,SDB,SDD,SDA_complex,SDB_complex,SDD_complex,skewness_a,skewness_b,skewness_diff,skewness_a_complex,skewness_b_complex,skewness_diff_complex
right_vs_left,55.55,65.18,-9.63,55.62,65.16,-9.54,20.35,4.71,15.64,20.88,5.7,15.19,1.96,-2.2,4.16,1.88,-2.09,3.96
right_vs_left,134.96,135.96,-1.0,134.87,135.92,-1.05,11.36,5.52,5.84,12.18,6.41,5.77,1.85,-2.34,4.19,1.69,-2.16,3.86
right_vs_left,90.0,90.01,-0.01,89.94,90.2,-0.26,17.35,8.24,9.11,17.95,9.08,8.86,2.08,-1.58,3.66,1.97,-1.48,3.44
right_vs_left,77.0,76.15,0.85,77.14,76.11,1.03,28.0,13.93,14.07,28.44,14.71,13.73,1.5,-1.96,3.46,1.34,-1.73,3.07
right_vs_left,57.92,48.91,9.01,57.79,49.0,8.79,9.72,4.32,5.4,10.64,4.8,5.84,2.08,-1.58,3.66,1.85,-1.44,3.29
right_vs_left,86.65,75.85,10.8,86.78,75.76,11.02,16.9,7.5,9.4,17.49,8.27,9.22,1.76,-1.96,3.72,1.64,-2.09,3.73
right_vs_left,78.7,69.34,9.36,78.9,69.04,9.86,20.71,5.49,15.22,21.46,6.48,14.98,1.96,-1.58,3.54,1.84,-1.52,3.36
right_vs_left,113.4,93.2,20.2,113.39,93.32,20.07,16.8,11.0,5.8,17.53,11.59,5.94,1.5,-1.85,3.35,1.51,-2.15,3.66
right_vs_left,110.72,90.84,19.88,110.76,91.26,19.5,15.4,5.85,9.55,16.37,6.81,9.56,1.85,-2.34,4.19,1.77,-2.1,3.87
right_vs_left,94.96,74.84,20.12,94.81,74.85,19.96,20.53,5.85,14.68,21.23,6.78,14.45,1.85,-2.34,4.19,1.74,-2.24,3.98
