skew,EVA,EVB,EVD,new_EVA,new_EVB,new_EVD,SDA,SDB,SDD,new_SDA,new_SDB,new_SDD,skewness_A,new_skewness_A,skewness_B,new_skewness_B,skewness_D,new_skewness_D,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
ns,190.54,191.2,-0.66,189.51,190.91,-1.4,8.98,3.43,5.55,8.81,4.59,4.21,-0.12,-0.34,-0.41,-0.42,0.29,0.08,-0.99,-1.66,0.14,-0.52
ns,149.99,150.5,-0.51,149.87,150.32,-0.45,24.5,14.92,9.57,24.78,15.57,9.21,-0.04,-0.03,0.2,0.2,-0.24,-0.23,-0.59,-0.94,-1.4,-1.75
ns,125.35,134.88,-9.53,125.33,135.22,-9.89,17.21,3.0,14.22,17.81,4.35,13.46,0.37,0.36,0.08,0.07,0.29,0.29,-0.42,-0.26,-0.48,-0.32
ns,57.47,67.32,-9.85,57.6,67.39,-9.79,35.15,30.9,4.25,35.38,31.41,3.97,-0.28,-0.28,-0.54,-0.55,0.26,0.27,-0.43,-0.42,0.71,0.72
ns,122.85,133.32,-10.47,122.73,133.69,-10.96,14.79,5.76,9.03,15.82,7.01,8.82,0.63,0.63,0.58,0.58,0.05,0.05,-0.97,-0.55,-0.24,0.18
ns,98.7,118.44,-19.74,98.73,118.32,-19.59,20.03,5.79,14.24,20.65,6.82,13.84,0.63,0.63,0.54,0.53,0.09,0.1,0.88,0.62,0.58,0.31
ns,69.65,89.72,-20.07,69.67,90.03,-20.36,9.06,3.93,5.13,10.21,5.35,4.86,0.63,0.63,-0.37,-0.36,0.99,1.0,0.74,0.92,0.63,0.81
ns,63.4,83.29,-19.89,63.4,82.96,-19.56,15.92,5.37,10.55,16.84,6.35,10.48,0.2,0.2,0.45,0.45,-0.25,-0.25,-0.28,-0.83,-0.4,-0.95
ns,47.94,27.0,20.94,47.75,26.6,21.15,19.44,4.9,14.54,20.01,6.06,13.95,0.16,0.16,0.41,0.42,-0.25,-0.26,-0.9,-1.49,-0.71,-1.3
ns,72.26,52.4,19.86,72.35,52.65,19.7,13.11,7.84,5.27,13.81,8.77,5.04,0.49,0.5,0.41,0.41,0.09,0.09,-0.6,-0.41,-0.11,0.07
ns,69.12,49.72,19.4,69.46,49.6,19.86,27.98,18.86,9.11,28.42,19.75,8.67,-0.08,-0.08,0.24,0.24,-0.32,-0.32,-0.89,-1.45,-1.67,-2.23
ns,63.4,53.04,10.36,63.47,53.21,10.26,11.45,6.72,4.73,12.28,7.82,4.45,0.63,0.62,0.58,0.58,0.05,0.04,0.06,0.27,-0.08,0.13
ns,57.32,47.55,9.77,57.52,47.98,9.54,53.76,44.36,9.4,53.35,44.01,9.34,0.58,0.58,0.63,0.63,-0.05,-0.05,0.19,-0.03,-0.1,-0.31
