skew,EVA,EVB,EVD,complex_EVA,complex_EVB,complex_EVD,SDA,SDB,SDD,complex_SDA,complex_SDB,complex_SDD,simple_skewness_A,complex_skewness_A,simple_skewness_B,complex_skewness_B,simple_skewness_D,complex_skewness_D,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS
rl,128.94,109.07,19.87,128.86,109.02,19.84,30.8,25.26,5.54,31.2,26.05,5.16,1.76,0.87,-3.37,-1.75,5.13,2.62,10.63,10.79,20.43,20.59
rl,107.68,88.16,19.52,107.58,88.1,19.48,29.2,18.52,10.68,29.71,19.22,10.49,1.67,1.27,-2.34,-1.6,4.0,2.87,7.84,7.48,10.77,10.42
rl,104.88,95.17,9.71,104.67,94.99,9.68,32.17,17.61,14.57,32.33,18.22,14.11,2.34,1.28,-3.37,-2.21,5.71,3.49,12.92,12.88,21.24,21.21
rl,89.78,110.56,-20.78,89.86,110.64,-20.78,44.07,39.96,4.11,43.75,40.23,3.51,2.08,1.08,-1.85,-1.1,3.93,2.18,16.5,11.74,30.32,25.56
rl,111.24,101.12,10.12,111.24,101.4,9.84,26.12,20.4,5.73,26.77,21.1,5.67,1.67,1.28,-1.58,-1.47,3.25,2.75,11.21,7.27,12.3,8.36
rl,84.62,84.52,0.1,84.69,84.59,0.1,24.89,10.26,14.62,25.41,11.1,14.31,2.2,1.18,-1.85,-1.85,4.06,3.03,6.0,5.75,13.96,13.71
rl,60.96,61.82,-0.86,61.0,61.87,-0.87,22.21,11.89,10.32,22.91,12.59,10.32,2.08,1.63,-2.49,-2.26,4.57,3.89,8.72,8.71,13.61,13.6
rl,100.33,100.76,-0.43,100.33,100.73,-0.4,10.59,5.55,5.04,11.41,6.39,5.03,2.87,2.4,-2.08,-2.06,4.94,4.47,5.83,4.68,7.12,5.97
rl,108.08,117.28,-9.2,107.99,117.3,-9.31,40.72,26.32,14.4,40.97,26.7,14.27,1.67,1.08,-2.34,-1.43,4.0,2.51,8.81,8.47,21.83,21.49
rl,73.98,84.53,-10.55,74.11,84.69,-10.58,16.48,6.39,10.09,17.09,7.3,9.79,1.58,1.54,-2.2,-2.16,3.78,3.7,6.03,4.95,8.37,7.29
rl,139.69,149.68,-9.99,139.87,149.74,-9.87,21.41,16.26,5.15,21.91,16.99,4.92,1.76,1.36,-4.69,-2.56,6.45,3.91,10.4,11.07,15.08,15.74
rl,56.71,76.26,-19.55,56.58,76.03,-19.45,22.53,8.26,14.27,23.25,9.23,14.02,2.2,1.65,-1.76,-1.77,3.96,3.42,7.87,5.91,12.56,10.61
rl,72.43,92.74,-20.31,72.36,92.78,-20.42,29.67,20.47,9.2,30.12,21.02,9.1,1.76,1.25,-2.08,-1.62,3.83,2.87,11.19,11.44,18.43,18.68
rl,124.15,114.46,9.69,124.32,114.24,10.08,33.35,23.29,10.06,33.83,23.89,9.94,1.58,0.91,-1.76,-1.17,3.34,2.08,10.43,7.37,19.12,16.07
rl,70.6,50.16,20.44,70.68,50.29,20.39,34.12,19.53,14.59,34.26,20.18,14.09,2.34,1.3,-1.76,-1.11,4.1,2.41,11.14,8.99,15.26,13.11
