Unnamed: 0,P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EVA,EVB,EVD,SDA,SDB,SDD,skewness_a,skewness_b,skewness_diff,evd_bins,sdd_bins,skew,original_EVA,original_SDA,original_skewness_A,new_OA1,new_PA1,new_OA2,new_PA2,new_OA3,new_PA3,new_OA4,new_PA4,new_OA5,new_PA5,new_OA6,new_PA6,new_OA7,new_PA7,new_EVA,new_SDA,new_skewness_A,original_EVB,original_SDB,original_skewness_B,new_OB1,new_PB1,new_OB2,new_PB2,new_OB3,new_PB3,new_OB4,new_PB4,new_OB5,new_PB5,new_OB6,new_PB6,new_OB7,new_PB7,new_EVB,new_SDB,new_skewness_B,original_EVD,original_SDD,original_skewness_D,new_EVD,new_SDD,new_skewness_D,EUA,EUB,EUA_simple,EUB_simple,EUD_CC,EUD_SC,EUD_CS,EUD_SS,after_diff_CC,after_diff_CS,after_diff_SC,after_diff_SS,Skewness_cs_diff_a,Skewness_cs_diff_b
75,0.05,135,0.95,35,0.91,42,0.09,17,40.0,39.75,0.25,21.7944947177034,7.15454401062709,14.6399507070763,4.12948320967011,-2.86531188703991,6.99479509671002,-1 to 1,14 to 16,rl,40.0,21.79449471770337,4.129483209670111,121,0.02,88,0.09,66,0.04,48,0.11,37,0.3,30,0.16,21,0.2799999999999999,40.03999999999999,22.19095311157229,1.756434285790793,39.75,7.1545440106270926,-2.8653118870399097,46,0.32,43,0.06,41,0.12,39,0.21,37,0.22,25,0.03,7,0.04,39.58,8.031413325187541,-2.688268969380268,0.25,14.639950707076277,6.994795096710021,0.45999999999999375,14.15953978638475,4.444703255171061,45.091155594592394,36.143506460545886,49.49260717287814,36.61632224244957,8.947649134046507,13.349100712332252,8.474833352142824,12.876284930428568,8.697649134046507,8.224833352142824,13.099100712332252,12.626284930428568,2.3730489238793178,-0.17704291765964175
102,0.11,140,0.89,92,0.95,99,0.05,56,97.28,96.85,0.430000000000007,15.0187083332755,9.37163272861245,5.64707560466309,2.49289081119233,-4.12948320967015,6.62237402086248,-1 to 1,4 to 6,rl,97.28,15.018708333275535,2.4928908111923276,155,0.04,133,0.03,116,0.02,101,0.3,96,0.19,91,0.29,76,0.12999999999999978,97.31999999999998,15.91595425979856,1.9471648416511012,96.85,9.371632728612449,-4.129483209670152,104,0.29,102,0.08,100,0.11,98,0.19,96,0.23,82,0.06,55,0.04,97.14,10.082678215632988,-3.0207732893029564,0.4300000000000068,5.647075604663087,6.6223740208624795,0.1799999999999784,5.833276044165572,4.967938130954058,99.94275248702716,92.49291767938676,101.61282392080463,92.33998400803719,7.4498348076404,9.119906241417866,7.602768478989972,9.272839912767438,7.019834807640393,7.1727684789899655,8.689906241417859,8.842839912767431,0.5457259695412264,-1.1087099203671955
39,0.05,119,0.95,37,0.97,43,0.03,2,41.1,41.77,-0.670000000000002,17.8714856685168,6.99407606478511,10.8774096037317,4.12948320967012,-5.51037758854922,9.63986079821933,-1 to 1,9 to 11,rl,41.1,17.871485668516765,4.1294832096701155,118,0.03,83,0.02,51,0.25,40,0.28,35,0.21,28,0.13,13,0.08000000000000002,41.18,18.18371799165396,2.189105602574485,41.77,6.994076064785112,-5.510377588549219,48,0.17,46,0.04,44,0.18,42,0.24,40,0.12,38,0.23,2,0.02,41.58,6.592692924746306,-4.188290273372894,-0.6700000000000017,10.877409603731653,9.639860798219335,-0.3999999999999986,11.591025066907655,6.3773958759473794,44.4933695429457,38.801834411764574,48.883937881760076,38.2514611960378,5.691535131181126,10.082103469995502,6.241908346907898,10.632476685722274,6.361535131181128,6.9119083469079,10.752103469995504,11.302476685722276,1.9403776070956305,-1.3220873151763248
84,0.06,183,0.94,104,0.95,119,0.05,98,108.74,117.95,-9.21000000000001,18.7614604975199,4.57684389071771,14.1846166068022,3.70546845269267,-4.12948320967059,7.83495166236326,-11 to -9,14 to 16,rl,108.74,18.76146049751991,3.7054684526926693,178,0.03,147,0.09,130,0.02,115,0.11,107,0.23,102,0.24,93,0.28,108.95,19.233499421582124,1.943384196159214,117.95,4.576843890717708,-4.129483209670588,125,0.1,123,0.04,121,0.18,119,0.29,117,0.15,115,0.22,86,0.02,118.28,5.508320978301827,-3.8443367844837804,-9.210000000000008,14.184616606802201,7.834951662363258,-9.329999999999998,13.725178443280296,5.787720980642995,113.53242063368661,116.14924550706117,116.29671898464395,115.74743405043677,-2.6168248733745543,0.1474734775827784,-2.2150134167501534,0.5492849342071793,6.5931751266254555,6.994986583249856,9.357473477582788,9.759284934207189,1.7620842565334554,-0.28514642518680766
43,0.08,193,0.92,147,0.9,164,0.1,139,150.68,161.5,-10.82,12.4794871689505,7.5,4.97948716895049,3.09628107925272,-2.66666666666667,5.76294774591939,-11 to -9,4 to 6,rl,150.68,12.479487168950493,3.096281079252718,198,0.05,175,0.03,157,0.13,150,0.26,148,0.19,145,0.2,135,0.14,150.58,13.313286596479474,2.218643244013722,161.5,7.5,-2.6666666666666665,170,0.24,163,0.23,161,0.31,159,0.1,154,0.06,143,0.03,124,0.03000000000000001,161.35,8.623659316090821,-2.521765717380991,-10.819999999999993,4.979487168950493,5.7629477459193845,-10.769999999999982,4.6896272803886525,4.740408961394713,153.1502843749639,157.83410296057895,155.04540403728987,158.29204227531466,-4.683818585615057,-2.7886989232890755,-5.141757900350768,-3.2466382380247865,6.136181414384943,5.678242099649232,8.031301076710925,7.573361761975214,0.8776378352389962,-0.14490094928567565
3,0.08,147,0.92,86,0.94,102,0.06,71,90.88,100.14,-9.25999999999999,16.5488851588257,7.36209209396351,9.18679306486215,3.09628107925285,-3.70546845269271,6.80174953194557,-11 to -9,9 to 11,rl,90.88000000000001,16.548885158825655,3.0962810792528517,162,0.02,131,0.05,106,0.13,93,0.2,88,0.24,83,0.1,74,0.26,90.83000000000001,17.16219974245726,1.9018361743139658,100.14,7.362092093963509,-3.7054684526927137,107,0.23,104,0.25,102,0.16,100,0.03,98,0.12,92,0.19,58,0.02,100.33000000000001,7.9825497179785865,-3.0412444648003225,-9.259999999999991,9.186793064862147,6.801749531945566,-9.5,9.179650024478676,4.943080639114289,94.95634396222478,96.7477944005564,96.66890535379746,96.67867723826038,-1.7914504383316228,-0.07888904675894537,-1.7223332760355987,-0.00977188446292132,7.468549561668366,7.53766672396439,9.181110953241044,9.250228115537068,1.1944449049388859,-0.6642239878923912
37,0.05,177,0.95,78,0.87,105,0.13,85,82.95,102.4,-19.45,21.5765497705263,6.7260686883201,14.8504810822062,4.12948320967009,-2.20039382376507,6.32987703343517,-21 to -19,14 to 16,rl,82.94999999999999,21.576549770526334,4.129483209670093,163,0.04,129,0.02,98,0.23,85,0.15,79,0.07,73,0.24,62,0.25,82.94,22.04623323835616,1.934801756212368,102.39999999999999,6.726068688320096,-2.2003938237650735,111,0.2,106,0.14,104,0.21,102,0.16,100,0.18,92,0.07,73,0.03999999999999978,102.56,7.767007145612769,-2.1173239859339845,-19.450000000000003,14.850481082206239,6.329877033435167,-19.620000000000005,14.27922609274339,4.052125742146353,87.56789125043248,99.64723976488794,92.34768110114936,99.72172882680191,-12.07934851445546,-7.29955866373858,-12.153837576369426,-7.374047725652545,7.370651485544538,7.296162423630573,12.15044133626142,12.075952274347454,2.1946814534577253,-0.08306983783108901
26,0.09,91,0.91,51,0.86,77,0.14,57,54.6,74.2,-19.6,11.4472704170033,6.93974062915899,4.50752978784436,2.86531188703993,-2.07500550373532,4.94031739077524,-21 to -19,4 to 6,rl,54.6,11.447270417003347,2.865311887039926,95,0.06,77,0.03,64,0.05,56,0.21,53,0.15,51,0.17,45,0.33,54.44,12.27951139093083,2.2183807402152484,74.2,6.9397406291589885,-2.0750055037353152,84,0.22,78,0.06,75,0.2,73,0.25,71,0.21,59,0.03,40,0.03000000000000001,74.28999999999999,8.163694016803912,-2.059004272341414,-19.6,4.5075297878443585,4.940317390775242,-19.849999999999994,4.115817374126918,4.277385012556662,57.31045301321548,71.43277400599308,58.34917788881627,71.50229269819081,-14.122320992777603,-13.08359611717681,-14.191839684975335,-13.153114809374543,5.477679007222399,5.408160315024666,6.516403882823191,6.4468851906254585,0.6469311468246777,-0.016001231393901083
59,0.05,184,0.95,105,0.93,132,0.07,100,108.95,129.76,-20.81,17.2176508269857,8.16470452619077,9.05294630079489,4.12948320967015,-3.37060574717957,7.50008895684972,-21 to -19,9 to 11,rl,108.95,17.21765082698566,4.129483209670145,186,0.02,151,0.05,121,0.16,108,0.35,104,0.06,99,0.26,85,0.10000000000000012,108.91000000000001,17.755616012968968,2.0627177039433566,129.76000000000002,8.164704526190768,-3.3706057471795705,138,0.24,133,0.14,131,0.19,129,0.11,127,0.23,113,0.07,85,0.02,129.64,8.921345190048417,-2.7601806048436472,-20.810000000000016,9.052946300794893,7.500088956849716,-20.729999999999976,8.834270822920551,4.822898308787003,112.78292792871923,125.73963224636034,116.44915966657373,126.01059434687211,-12.956704317641112,-9.29047257978661,-13.227666418152879,-9.561434680298376,7.853295682358887,7.58233358184712,11.51952742021339,11.248565319701623,2.066765505726788,-0.6104251423359233
100,0.08,154,0.92,70,0.87,59,0.13,34,76.72,55.75,20.97,22.7886287433009,8.40758586040012,14.3810428829008,3.09628107925284,-2.20039382376519,5.29667490301803,19 to 21,14 to 16,rl,76.72,22.7886287433009,3.096281079252839,153,0.04,124,0.06,103,0.03,85,0.16,75,0.24,67,0.26,53,0.21,76.8,23.280463912903453,1.7085617352111289,55.75,8.407585860400118,-2.2003938237651948,65,0.29,59,0.07,57,0.14,55,0.24,51,0.2,37,0.02,20,0.04,55.9,9.410100955887774,-2.146562261512626,20.97,14.381042882900783,5.296674903018033,20.9,13.87036295701568,3.855123996723755,80.91996071374972,52.28347701633909,84.6916073724424,52.40216103350239,28.636483697410625,32.408130356103314,28.51779968024733,32.28944633894002,7.6664836974106265,7.54779968024733,11.438130356103315,11.319446338940018,1.38771934404171,-0.05383156225256869
