P_A1,O_A1,P_A2,O_A2,P_B1,O_B1,P_B2,O_B2,EV_A,EV_B,EV_diff,SD_A,SD_B,SD_diff,skew_A,skew_B,skew_diff,skew_level,ev_level,sd_level,simple_EVA,simple_SDA,simple_skewness_A,complex_OA1,complex_PA1,complex_OA2,complex_PA2,complex_OA3,complex_PA3,complex_OA4,complex_PA4,complex_OA5,complex_PA5,complex_OA6,complex_PA6,complex_OA7,complex_PA7,complex_EVA,complex_SDA,complex_skewness_A,simple_EVB,simple_SDB,simple_skewness_B,complex_OB1,complex_PB1,complex_OB2,complex_PB2,complex_OB3,complex_PB3,complex_OB4,complex_PB4,complex_OB5,complex_PB5,complex_OB6,complex_PB6,complex_OB7,complex_PB7,complex_EVB,complex_SDB,complex_skewness_B,simple_EVD,simple_SDD,simple_skewness_D,complex_EVD,complex_SDD,complex_skewness_D,combined
0.82,54,0.18,19,0.15,86,0.85,65,47.699999999999996,68.15,-20.45000000000001,13.446560898608997,7.49849984996993,5.948061048639067,-1.665853460145125,1.9603921176392607,-3.6262455777843856,left_vs_right,-20,5,124.7,13.446560898608984,-1.6658534601451112,63,0.24,54,0.09,49,0.35,44,0.19,35,0.03,23,0.04,5,0.06,124.76,14.197971686124747,-1.5717856892861697,68.15,7.49849984996993,1.9603921176392607,96,0.05,74,0.21,70,0.19,68,0.03,66,0.04,64,0.2,60,0.28,144.92,8.294190738100976,1.7604862248046516,-20.450000000000017,5.948061048638991,-3.6262455777843856,-20.159999999999997,5.903780948023771,-3.3322719140908212,"(0.82, 131.0, 0.18, 96.0, 0.15, 163.0, 0.85, 142.0)"
0.84,96,0.16,43,0.14,132,0.86,103,87.52,107.06,-19.540000000000006,19.43012094661278,10.062623912280545,9.367497034332237,-1.8548520670059292,2.075005503735239,-3.9298575707411683,left_vs_right,-20,10,87.52,19.430120946612764,-1.8548520670059292,107,0.27,94,0.28,86,0.24,75,0.08,61,0.04,43,0.07,14,0.02,87.58000000000001,20.057008750060415,-1.614760850178757,107.06,10.062623912280545,2.075005503735239,155,0.02,129,0.07,117,0.05,109,0.23,107,0.2,104,0.18,96,0.25,107.17,10.849935483679154,2.04451275672189,-19.540000000000006,9.36749703433223,-3.9298575707411683,-19.58999999999999,9.20707326638126,-3.659273606900647,"(0.84, 96.0, 0.16, 43.0, 0.14, 132.0, 0.86, 103.0)"
0.85,100,0.15,40,0.12,127,0.88,109,91.0,111.16,-20.159999999999997,21.42428528562855,5.849307651337956,15.574977634290594,-1.9603921176392132,2.3387383286072465,-4.29913044624646,left_vs_right,-20,15,91.0,21.42428528562855,-1.9603921176392136,110,0.33,97,0.23,89,0.22,78,0.11,63,0.03,45,0.02,23,0.06,90.94,22.13947605522768,-1.7797269729646956,111.16,5.849307651337956,2.3387383286072465,144,0.02,121,0.11,115,0.17,113,0.05,111,0.1,109,0.27,105,0.28,111.32,6.837952910045521,2.2908969691577834,-20.159999999999997,15.574977634290658,-4.29913044624646,-20.379999999999995,15.30152314518216,-4.070623942122479,"(0.85, 100.0, 0.15, 40.0, 0.12, 127.0, 0.88, 109.0)"
0.85,80,0.15,49,0.17,96,0.83,82,75.35,84.38,-9.030000000000001,11.069214064241423,5.258859191878117,5.810354872363306,-1.9603921176392087,1.757035064614418,-3.7174271822536267,left_vs_right,-10,5,152.35,11.069214064241416,-1.960392117639209,88,0.22,79,0.29,76,0.2,73,0.15,65,0.05,54,0.03,38,0.06,152.57,11.9442496624945,-1.8252360256071425,84.38,5.258859191878117,1.757035064614418,104,0.06,90,0.11,87,0.07,85,0.25,83,0.19,81,0.08,78,0.2400000000000002,161.45000000000005,6.179603547154138,1.6953115906039111,-9.03,5.810354872363391,-3.7174271822536267,-8.880000000000052,5.764646115340363,-3.520547616211054,"(0.85, 157.0, 0.15, 126.0, 0.17, 173.0, 0.83, 159.0)"
0.85,92,0.15,40,0.2,111,0.8,90,84.2,94.2,-10.0,18.567713914211392,8.39999999999997,10.167713914211422,-1.96039211763922,1.5000000000000153,-3.4603921176392354,left_vs_right,-10,10,84.2,18.56771391421141,-1.96039211763922,102,0.32,90,0.21,83,0.14,75,0.23,58,0.04,38,0.03,12,0.0299999999999999,84.22999999999999,19.390644651480763,-1.8291781864617775,94.2,8.39999999999997,1.5000000000000153,130,0.03,105,0.12,96,0.26,94,0.15,92,0.24,88,0.09,78,0.11,94.14,9.315599819657349,1.3026899244887886,-10.0,10.16771391421141,-3.4603921176392354,-9.91000000000001,10.075044831823416,-3.131868110950566,"(0.85, 92.0, 0.15, 40.0, 0.2, 111.0, 0.8, 90.0)"
0.85,114,0.15,49,0.2,131,0.8,110,104.24999999999999,114.2,-9.950000000000017,23.20964239276434,8.39999999999997,14.80964239276437,-1.960392117639192,1.5000000000000153,-3.4603921176392074,left_vs_right,-10,15,104.25,23.209642392764263,-1.960392117639192,125,0.31,110,0.29,100,0.23,86,0.06,69,0.05,47,0.02,23,0.04,104.12,23.641607390361596,-1.8720858869092325,114.2,8.39999999999997,1.5000000000000153,146,0.04,125,0.15,119,0.06,115,0.14,113,0.19,111,0.18,104,0.24,114.24,9.300666642773516,1.5048096015893055,-9.950000000000015,14.809642392764262,-3.4603921176392074,-10.120000000000005,14.34094074758808,-3.376895488498538,"(0.85, 114.0, 0.15, 49.0, 0.2, 131.0, 0.8, 110.0)"
0.82,90,0.18,50,0.16,107,0.84,78,82.8,82.64,0.1599999999999966,15.367498169838862,10.631575612297532,4.735922557541331,-1.6658534601451227,1.8548520670059438,-3.5207055271510663,left_vs_right,0,5,159.8,15.367498169838838,-1.6658534601451742,101,0.22,88,0.31,83,0.13,77,0.12,68,0.16,47,0.04,19,0.02,159.67,15.90600829875302,-1.5164966849303676,82.64,10.631575612297532,1.8548520670059438,123,0.04,104,0.03,88,0.32,85,0.02,82,0.12,79,0.17,71,0.3,159.47,11.448541391810574,1.7041342959702122,0.160000000000025,4.735922557541288,-3.5207055271510663,0.1999999999999886,4.457466906942447,-3.22063098090058,"(0.82, 167.0, 0.18, 127.0, 0.16, 184.0, 0.84, 155.0)"
0.83,104,0.17,57,0.14,115,0.86,93,96.00999999999999,96.08000000000001,-0.0700000000000216,17.654741572733407,7.633714692074798,10.02102688065861,-1.7570350646144954,2.075005503735315,-3.83204056834981,left_vs_right,0,10,96.01,17.65474157273337,-1.7570350646144952,123,0.13,105,0.24,97,0.31,88,0.2,72,0.08,48,0.02,20,0.0200000000000001,95.98,18.30299429055259,-1.5404919739429763,96.08000000000001,7.633714692074798,2.075005503735315,134,0.02,106,0.17,98,0.21,96,0.11,94,0.1,92,0.19,86,0.2,95.92,8.375774591045296,1.8260964687091292,-0.0700000000000216,10.021026880658482,-3.83204056834981,0.059999999999988,9.927219699507294,-3.3665884426521053,"(0.83, 104.0, 0.17, 57.0, 0.14, 115.0, 0.86, 93.0)"
0.85,113,0.15,61,0.12,116,0.88,103,105.2,104.56,0.6400000000000006,18.567713914211367,4.224499970410527,14.34321394380084,-1.9603921176392278,2.3387383286076076,-4.299130446246835,left_vs_right,0,15,182.2,18.56771391421141,-1.960392117639195,123,0.2,116,0.18,110,0.24,103,0.17,90,0.11,71,0.04,47,0.06,181.95,19.133413182179492,-1.7361111928216422,104.56,4.224499970410527,2.3387383286076076,123,0.03,112,0.07,108,0.04,106,0.12,104,0.33,102,0.16,100,0.2499999999999999,181.21,4.585400745845449,2.225802045663261,0.6399999999999864,14.34321394380071,-4.299130446246835,0.7400000000000091,14.548012436334044,-3.961913238484903,"(0.85, 190.0, 0.15, 138.0, 0.12, 193.0, 0.88, 180.0)"
0.88,59,0.12,24,0.1,67,0.9,43,54.800000000000004,45.400000000000006,9.399999999999999,11.37365376649033,7.199999999999979,4.173653766490351,-2.3387383286073318,2.6666666666666883,-5.00540499527402,left_vs_right,10,5,131.8,11.373653766490344,-2.3387383286074077,69,0.18,59,0.25,56,0.15,53,0.24,46,0.12,29,0.02,8,0.04,131.71,12.325011156181564,-2.110617998813119,45.400000000000006,7.199999999999979,2.6666666666666883,86,0.02,63,0.04,50,0.23,47,0.16,45,0.13,43,0.06,39,0.3599999999999997,122.72999999999996,8.10167266680159,2.669114346314376,9.400000000000006,4.173653766490344,-5.00540499527402,8.980000000000047,4.223338489379975,-4.779732345127495,"(0.88, 136.0, 0.12, 101.0, 0.1, 144.0, 0.9, 120.0)"
